date,ticker,summary_v1
2025-05-26,AAPL,"株価は 195.27 ドル、1 か月で約 6% 下落も時価総額は 2.9 兆ドルと依然巨額。／PER 30.4 倍で大型テック平均を上回り、成長プレミアムが継続して評価される。／直近 5 営業日は出来高増を伴う続落で 200 ドルを一時割り込み、調整色が濃い。／機関投資家の持ち株売却報道が相次ぐ一方、買い増し例もあり需給は拮抗。／iPhone 需要減速懸念と株主還元期待が綱引き、当面はレンジ推移の公算大。／投資判断：★★★☆☆"
2025-05-31,AAPL,"- AAPLの株価は200.85ドル、時価総額は約3兆ドル。
- P/E比率は31.14で、成長期待が反映されている。
- 最近の株価は上昇傾向にあり、取引量も活発。
- 競合のAI技術に遅れをとっているとの報道が影響。
- 投資家の間での評価は分かれている。

投資判断：★★★☆☆"
2025-05-31,AAPL,"- AAPLの株価は200.85ドル、時価総額は約3兆ドル。
- P/E比率は31.24で、成長期待を反映。
- 直近の取引では、株価は安定しており、上昇傾向。
- iPhoneが世界で最も売れているスマートフォンとして好調。
- AI関連の取り組みで新たな展開が期待されている。

投資判断：★★★★☆"
2025-06-01,AAPL,"- AAPLの株価は200.85ドルで、時価総額は約3兆ドル。
- P/E比率は31.24で、成長性を反映。
- 直近の取引では、株価は193.67ドルから上昇。
- テクノロジー株として注目されており、競合他社と比較しても堅調。
- 一部の機関投資家が保有株を減少させている。

投資判断: ★★★★☆"
2025-06-02,AAPL,"- AAPLの株価は201.7ドル、時価総額は約3兆ドル。
- PERは31.37で、成長期待が反映されている。
- 直近の取引では、株価は安定して200ドル台を維持。
- 今年の株価は20%下落し、競合に後れを取っている。
- 投資家は慎重に動向を見守る必要がある。

投資判断：★★★☆☆"
2025-06-03,AAPL,"- AAPLの株価は201.7ドル、時価総額は約3兆ドル。
- PERは31.47で、成長期待が反映されている。
- 最近の取引では、株価は安定しており、ボリュームも高い。
- 投資家の関心が高まり、複数のファンドが持ち株を増加。
- フィットネス関連株として注目されている。

投資判断：★★★★☆"
2025-06-03,AAPL,"- AAPLの株価は201.7ドル、時価総額は約301兆円。
- P/E比率は31.47で、成長期待が高い。
- 最近の株価は200ドル前後で推移。
- 投資家の関心が高まり、複数のファンドが持ち株を増加。
- 健康関連株として注目されている。

投資判断：★★★★☆"
2025-06-03,AAPL,"- AAPLの株価は203.27ドル、時価総額は約3兆0360億ドル。
- PERは31.71と高めで、成長期待が反映されている。
- 直近の取引では、株価は上昇傾向を示している。
- 過去10年間で年平均20.27%のリターンを達成。
- 長期投資において魅力的な選択肢と評価されている。

投資判断：★★★★☆"
2025-06-04,AAPL,"- AAPLの株価は2025年6月4日現在、202.82ドル。
- 時価総額は約3兆0293億ドル、P/E比は31.59。
- 直近の取引では、株価は安定しており、上昇傾向。
- Nvidiaが市場価値でMicrosoftを抜き、注目を集めている。
- マグニフィセントセブンの成長が他企業を上回っている。

投資判断：★★★★☆"
2025-06-05,AAPL,"- AAPLの株価は200.63ドル、時価総額は約2.99兆ドル。
- P/E比率は31.20で、成長期待が反映されている。
- 直近の取引では、株価は安定しており、ボリュームも高め。
- WWDC 2025でのAI競争への対応が注目されている。
- 市場は「スーパサイクル」に期待を寄せている。

投資判断: ★★★★☆"
